"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\__init__.py", "Python", 1, 0, 1, 1, 3
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\__main__.py", "Python", 5, 0, 0, 1, 6
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\ai.py", "Python", 20, 0, 1, 7, 28
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\aiballs.py", "Python", 10, 0, 2, 4, 16
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\aiballs_.py", "Python", 9, 0, 2, 4, 15
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\ball.py", "Python", 88, 0, 9, 31, 128
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\collision.py", "Python", 32, 0, 1, 13, 46
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\button_theme\theme.json", "JSON", 0, 35, 0, 0, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\level\level.json", "JSON", 0, 21, 0, 3, 24
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\fps.py", "Python", 11, 0, 2, 7, 20
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\game.py", "Python", 33, 0, 1, 8, 42
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\json.py", "Python", 57, 0, 1, 13, 71
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\level.py", "Python", 43, 0, 2, 11, 56
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\level_selection.py", "Python", 10, 0, 0, 3, 13
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\menu.py", "Python", 39, 0, 0, 12, 51
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\mouse.py", "Python", 17, 0, 2, 3, 22
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\scene.py", "Python", 5, 0, 1, 1, 7
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\scene_end.py", "Python", 4, 0, 4, 1, 9
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\level1.json", "JSON", 0, 35, 0, 0, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\setup.py", "Python", 9, 0, 0, 2, 11
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\template.json", "JSON", 0, 46, 0, 0, 46
"Total", "-", 393, 137, 29, 125, 684
