"filename", "language", "JSON", "Python", "Cython", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\__init__.py", "Python", 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\__main__.py", "Python", 0, 10, 0, 0, 0, 2, 3, 15
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\ai.py", "Python", 0, 10, 0, 0, 0, 1, 5, 16
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\aiballs.py", "Python", 0, 6, 0, 0, 0, 2, 4, 12
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\background.py", "Python", 0, 51, 0, 0, 0, 0, 16, 67
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\ball.py", "Python", 0, 97, 0, 0, 0, 9, 33, 139
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\button.py", "Python", 0, 34, 0, 0, 0, 0, 11, 45
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\code_error.py", "Python", 0, 48, 0, 0, 0, 0, 16, 64
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\collision.c", "C", 0, 0, 0, 0, 8070, 1517, 372, 9959
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\collision.pyx", "Cython", 0, 0, 131, 0, 0, 4, 42, 177
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\context.py", "Python", 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\button_theme\defeat_theme.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\button_theme\green_theme.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\button_theme\red_theme.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\button_theme\theme.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\callgrind.profile", "Shell Script", 0, 0, 0, 5479, 0, 0, 561, 6040
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\code\test.py", "Python", 0, 3, 0, 0, 0, 1, 0, 4
